Id,Prediction
268752,3.5
80629,3.5
189135,3.5
270511,3.5
179535,3.5
86367,3.5
39319,3.5
173876,3.5
149393,3.5
171365,3.5
142513,3.5
256804,3.5
7262,3.5
249004,3.5
74280,3.5
68990,3.5
59128,3.5
184310,3.5
107004,3.5
274353,3.5
298231,3.5
217105,3.5
127897,3.5
288478,3.5
73554,3.5
191825,3.5
271698,3.5
265523,3.5
71937,3.5
183882,3.5
20068,3.5
164706,3.5
256604,3.5
290529,3.5
160648,3.5
289847,3.5
157817,3.5
231498,3.5
286846,3.5
23945,3.5
99644,3.5
4467,3.5
289929,3.5
294910,3.5
26683,3.5
133996,3.5
95787,3.5
263715,3.5
160489,3.5
242643,3.5
112820,3.5
148295,3.5
228404,3.5
140549,3.5
8066,3.5
112713,3.5
70263,3.5
105926,3.5
164006,3.5
298283,3.5
225367,3.5
86800,3.5
101304,3.5
244879,3.5
77282,3.5
108359,3.5
222303,3.5
22953,3.5
41922,3.5
146283,3.5
237330,3.5
60360,3.5
129448,3.5
35023,3.5
139443,3.5
99126,3.5
258067,3.5
283302,3.5
124129,3.5
85777,3.5
258909,3.5
206577,3.5
256186,3.5
141492,3.5
138835,3.5
238775,3.5
31943,3.5
144882,3.5
37909,3.5
190117,3.5
247780,3.5
6404,3.5
260275,3.5
271635,3.5
231472,3.5
75985,3.5
53239,3.5
82401,3.5
220649,3.5
95805,3.5
79441,3.5
164930,3.5
112260,3.5
260692,3.5
100508,3.5
225458,3.5
163131,3.5
192557,3.5
129278,3.5
246486,3.5
224924,3.5
223460,3.5
152656,3.5
278438,3.5
217660,3.5
166742,3.5
229603,3.5
1580,3.5
292455,3.5
47352,3.5
268167,3.5
68005,3.5
174565,3.5
229235,3.5
164023,3.5
128363,3.5
101816,3.5
167825,3.5
63160,3.5
47300,3.5
44445,3.5
27252,3.5
235776,3.5
211902,3.5
129122,3.5
4093,3.5
65294,3.5
44015,3.5
64853,3.5
71242,3.5
173352,3.5
243026,3.5
278611,3.5
154545,3.5
246529,3.5
10234,3.5
256790,3.5
125747,3.5
212172,3.5
173478,3.5
145092,3.5
294797,3.5
14655,3.5
54021,3.5
166777,3.5
39074,3.5
81435,3.5
161937,3.5
122401,3.5
117074,3.5
